ID,Vulnerability description,Vulnerability location,Location-subtype,Vulnerability type,Type-subtype,Risk,Time,Attack surface,Country/region,EPA size,SAE level,Power type,APP class,Vehicle ID,Participant ID,Skill1,Skill2,Skill3,Skill4,Privacy data breach,Control hijacking,Ransomware,System damage,Unauthroized unlocking,Driving accident
100,XX Company has a relay attack vulnerability on keyless start,In-vehicle,Radio,Interception,Relay,Medium,2024-3-5,Mid-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,2,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
101,The XX model of XX Company can enable engineering mode and ADB mode,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-5,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,2,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
102,The XX model of XX Company can enter engineering mode,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-5,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,2,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
103,The XX model of XX Company has a vulnerability of bypassing non-readable permissions,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2024-3-5,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
104,The car infotainment system of XX Company has a browser arbitrary file reading vulnerability,In-vehicle,IVI,File operation,File accessing,Low,2024-3-5,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,3,Vulnerability reproduction,-,-,-,TRUE,-,-,-,-,-
105,The APP of XX Company has a vulnerability of unauthorized vehicle information acquisition,Outside-vehicle,APP,Authorization,Unauthorized accessing,Medium,2024-3-5,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,2,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
106,The car infotainment system of XX Company has a local privilege escalation vulnerability,In-vehicle,IVI,Authorization,Privilege escalation,Medium,2024-3-5,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
107,The APP of XX Company has a vulnerability of unauthorized acquisition of sensitive information,Outside-vehicle,APP,Authorization,Unauthorized accessing,Medium,2024-3-5,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,2,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
108,Key leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,High,2024-3-5,Remote,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
109,Getshell vulnerability in XX Company's ADB authorization platform,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,Medium,2024-3-5,Remote,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,3,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
110,DNS denial of service vulnerability in XX Company's car infotainment system (CVE-2017-14493),In-vehicle,IVI,DoS,DoS,Low,2024-3-5,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,3,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
111,DNS denial of service vulnerability in XX Company's car infotainment system (CVE-2017-14496),In-vehicle,IVI,DoS,DoS,Low,2024-3-4,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,3,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
112,DNS denial of service vulnerability in XX Company's car infotainment system,In-vehicle,IVI,DoS,DoS,Low,2024-3-4,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,3,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
113,GPS spoofing vulnerability in XX Company's XX model,In-vehicle,ECU,Interception,GPS spoofing,Low,2024-2-27,Short-range,China,Sedan,L2,Hybird,-,Competition-7-Vehicle-3,1,Traffic analysis,-,-,-,-,-,-,TRUE,-,TRUE
114,LAN hijacking vulnerability in XX Company's IVI,In-vehicle,IVI,Interception,Traffic hijacking,Low,2024-2-27,Short-range,China,Sedan,L2,Hybird,-,Competition-7-Vehicle-3,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
115,XX Company's IVI does not use TLS,In-vehicle,IVI,Interception,Traffic hijacking,Low,2024-2-27,Short-range,China,Sedan,L2,Hybird,-,Competition-7-Vehicle-3,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
116,RCE vulnerability in the in-vehicle operating system of XX Company's IVI,In-vehicle,IVI,Injection,Command injection,Low,2024-2-27,Short-range,China,Sedan,L2,Hybird,-,Competition-7-Vehicle-3,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
117,The firewall and other internal services of XX Company's XX model have a risk of condition competition,In-vehicle,T-Box,DoS,DoS,Medium,2024-2-27,Short-range,America,Sedan,L2,Electric,-,Competition-7-Vehicle-2,1,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
118,Cache overflow risk in XX Company's IVI system,In-vehicle,IVI,Memory,Integer overflow,High,2024-2-27,Short-range,America,Sedan,L2,Electric,-,Competition-7-Vehicle-2,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
119,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,High,2024-2-23,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
120,Public network image leakage in XX Company's test environment,Outside-vehicle,Cloud platform,Information leakage,Information leakage,High,2024-2-23,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
121,Authentication bypass vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,Critical,2024-2-23,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
122,Processing logic error vulnerability in XX Company's car infotainment system,In-vehicle,IVI,DoS,DoS,low,2024-1-26,Short-range,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
123,Configuration error vulnerability in the browser of XX Company's car infotainment system,In-vehicle,IVI,DoS,DoS,low,2024-1-26,Short-range,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
124,Information leakage in XX Company's APP leading to cloud host takeover,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-1-26,Remote,China,-,-,-, APP-internal,Competition-7-Vehicle-3-5-6,2,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
125,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Medium,2024-1-24,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
126,Privilege escalation vulnerability in XX Company's test certificate,In-vehicle,ECU,Information leakage,Information leakage,low,2024-1-18,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
127,Privilege escalation vulnerability in XX Company's test certificate,In-vehicle,T-Box,Authorization,Privilege escalation,low,2024-1-18,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,8,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
128,Vulnerability allowing unauthorized control of the trunk in XX Company's vehicles,In-vehicle,Radio,Interception,Relay,High,2024-1-18,Short-range,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
129,Unauthorized access to the CANFD bus in XX Company's vehicles,Network,Network,Authorization,Unauthorized accessing,High,2024-1-18,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,3,Fuzzing,-,-,-,TRUE,TRUE,-,-,-,-
130,Key leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,High,2024-1-18,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
131,Vulnerability allowing bypass of the interface signature algorithm in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,High,2024-1-18,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
132,Arbitrary vehicle control vulnerability in XX Company's TBOX,In-vehicle,T-Box,Injection,Command injection,High,2024-1-18,Short-range,German,SUV,L2,Electric,-,Daily,-,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
133,XX Company's cloud platform can control multiple vehicles without authorization,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Critical,2024-1-18,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
134,The car key signal of XX Company can be replayed,In-vehicle,Radio,Interception,replay,Critical,2024-1-18,Mid-range,China,Sedan,L2,Hybird,-,Competition-7-Vehicle-3,1,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
135,Default configuration management in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,High,2024-1-16,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,6,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
136,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2024-1-16,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,6,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
137,Weak password vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2024-1-16,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,8,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
138,The APP of XX Company has a vulnerability of obtaining verification codes through registration responses,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-1-15,Remote,China,-,-,-, APP-internal,Competition-7-Vehicle-3-5-6,8,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
139,The APP of XX Company has a SMS brute-force vulnerability,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-1-12,Remote,China,-,-,-, APP-internal,Competition-7-Vehicle-3-5-6,10,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
140,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,High,2024-1-12,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
141,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2024-1-12,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,10,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
142,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Critical,2024-1-11,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
143,Injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,High,2024-1-11,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
144,Remote code execution (RCE) vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2024-1-10,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,16,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
145,Command execution vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2024-1-9,Remote,China,Sedan,L1,Electric,-,Competition-2-Vehicle-4,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
146,Buffer overflow issue in XX Company's TBOX,In-vehicle,T-Box,Memory,Buffer overflow,Low,2024-1-9,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,3,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
147,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,High,2024-1-8,Remote,China,Sedan,L1,Electric,-,Competition-2-Vehicle-4,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
148,Configuration error vulnerability in the car infotainment browser of XX Company,In-vehicle,IVI,DoS,DoS,low,2024-1-5,Short-range,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
149,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2024-1-5,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
150,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2024-1-3,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
151,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2024-1-3,Remote,China,-,-,-,-,Competition-7-Vehicle-3-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
152,URL redirection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Phishing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
153,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
154,Command execution vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
155,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
156,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File download,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
157,Weak passwords for system administrators on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
158,Vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
159,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
160,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
161,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
162,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
163,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
164,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
165,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
166,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
167,Unauthorized access in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
168,Deserialization vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
169,Local file inclusion vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
170,Unauthorized deletion of any user's shopping cart vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
171,Key leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
172,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
173,"Arbitrary user registration, password modification, and login vulnerability in XX Company's cloud platform",Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
174,"Unauthorized viewing of license plate information, user information, and user photos vulnerability in XX Company's cloud platform",Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
175,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
176,Arbitrary file upload vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,OS,Arbitrary software installation,Medium,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
177,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
178,Arbitrary account login vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
179,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
180,Arbitrary phone number binding vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-29,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
181,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-28,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,4,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
182,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-28,Remote,France,SUV,L2,Electric,-,Competition-6-Vehicle-1,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
183,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File download,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
184,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File download,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
185,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
186,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,German,SUV,L3,Hybird,-,Competition-2-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
187,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-28,Remote,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
188,Reflected XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,4,Penetration testing,-,-,-,TRUE,-,-,-,-,-
189,Arbitrary file deletion vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File delete,Low,2023-12-28,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,4,Penetration testing,-,-,-,-,-,-,TRUE,-,-
190,Stored XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,4,Penetration testing,-,-,-,TRUE,-,-,-,-,-
191,Information leakage of all personnel in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-28,Remote,China,MPV,L2,Petrol,-,Competition-1-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
192,Information leakage of all personnel in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-28,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,4,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
193,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
194,Weak passwords for system administrators in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-12-28,Remote,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,8,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
195,Directory traversal vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-12-28,Remote,China,MPV,L2,Petrol,-,Competition-1-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
196,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
197,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Medium,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
198,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File traversal,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
199,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
200,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
201,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,German,Sedan,L2,Electric,-,Competition-5-Vehicle-1,4,Penetration testing,-,-,-,TRUE,-,-,-,-,-
202,RCE (Remote Code Execution) command execution vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,High,2023-12-28,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
203,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Low,2023-12-28,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
204,RCE (Remote Code Execution) vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,High,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
205,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2023-12-28,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
